x,y
-1.000000,5.276335
-0.990000,5.144114
-0.980000,5.018216
-0.970000,4.898242
-0.960000,4.783824
-0.950000,4.674623
-0.940000,4.570327
-0.930000,4.470648
-0.920000,4.375316
-0.910000,4.284085
-0.900000,4.196725
-0.890000,4.113020
-0.880000,4.032774
-0.870000,3.955800
-0.860000,3.881926
-0.850000,3.810992
-0.840000,3.742846
-0.830000,3.677350
-0.820000,3.614371
-0.810000,3.553786
-0.800000,3.495480
-0.790000,3.439345
-0.780000,3.385279
-0.770000,3.333188
-0.760000,3.282980
-0.750000,3.234573
-0.740000,3.187886
-0.730000,3.142845
-0.720000,3.099379
-0.710000,3.057421
-0.700000,3.016909
-0.690000,2.977783
-0.680000,2.939987
-0.670000,2.903467
-0.660000,2.868174
-0.650000,2.834060
-0.640000,2.801079
-0.630000,2.769190
-0.620000,2.738351
-0.610000,2.708523
-0.600000,2.679671
-0.590000,2.651760
-0.580000,2.624756
-0.570000,2.598629
-0.560000,2.573348
-0.550000,2.548885
-0.540000,2.525213
-0.530000,2.502306
-0.520000,2.480141
-0.510000,2.458693
-0.500000,2.437940
-0.490000,2.417862
-0.480000,2.398438
-0.470000,2.379648
-0.460000,2.361476
-0.450000,2.343902
-0.440000,2.326910
-0.430000,2.310485
-0.420000,2.294611
-0.410000,2.279273
-0.400000,2.264459
-0.390000,2.250154
-0.380000,2.236346
-0.370000,2.223022
-0.360000,2.210173
-0.350000,2.197786
-0.340000,2.185851
-0.330000,2.174358
-0.320000,2.163298
-0.310000,2.152662
-0.300000,2.142441
-0.290000,2.132626
-0.280000,2.123210
-0.270000,2.114186
-0.260000,2.105546
-0.250000,2.097285
-0.240000,2.089394
-0.230000,2.081869
-0.220000,2.074703
-0.210000,2.067892
-0.200000,2.061430
-0.190000,2.055312
-0.180000,2.049535
-0.170000,2.044092
-0.160000,2.038981
-0.150000,2.034198
-0.140000,2.029740
-0.130000,2.025602
-0.120000,2.021783
-0.110000,2.018279
-0.100000,2.015088
-0.090000,2.012208
-0.080000,2.009636
-0.070000,2.007371
-0.060000,2.005411
-0.050000,2.003755
-0.040000,2.002402
-0.030000,2.001351
-0.020000,2.000600
-0.010000,2.000150
0.000000,1.179643
0.010000,1.179643
0.020000,1.179643
0.030000,1.179643
0.040000,1.179643
0.050000,1.179643
0.060000,1.179643
0.070000,1.179643
0.080000,1.179643
0.090000,1.179643
0.100000,1.179643
0.110000,1.179643
0.120000,1.179643
0.130000,1.179643
0.140000,1.179643
0.150000,1.179643
0.160000,1.179643
0.170000,1.179643
0.180000,1.179643
0.190000,1.179643
0.200000,1.179643
0.210000,1.179643
0.220000,1.179643
0.230000,1.179643
0.240000,1.179643
0.250000,1.179643
0.260000,1.179643
0.270000,1.179643
0.280000,1.179643
0.290000,1.179643
0.300000,1.179643
0.310000,1.179643
0.320000,1.179643
0.330000,1.179643
0.340000,1.179643
0.350000,1.179643
0.360000,1.179643
0.370000,1.179643
0.380000,1.179643
0.390000,1.179643
0.400000,1.179643
0.410000,1.179643
0.420000,1.179643
0.430000,1.179643
0.440000,1.179643
0.450000,1.179643
0.460000,1.179643
0.470000,1.179643
0.480000,1.179643
0.490000,1.179643
0.500000,1.179643
0.510000,1.179643
0.520000,1.179643
0.530000,1.179643
0.540000,1.179643
0.550000,1.179643
0.560000,1.179643
0.570000,1.179643
0.580000,1.179643
0.590000,1.179643
0.600000,1.179643
0.610000,1.179643
0.620000,1.179643
0.630000,1.179643
0.640000,1.179643
0.650000,1.179643
0.660000,1.179643
0.670000,1.179643
0.680000,1.179643
0.690000,1.179643
0.700000,1.179643
0.710000,1.179643
0.720000,1.179643
0.730000,1.179643
0.740000,1.179643
0.750000,1.179643
0.760000,1.179643
0.770000,1.179643
0.780000,1.179643
0.790000,1.179643
0.800000,1.179643
0.810000,1.179643
0.820000,1.179643
0.830000,1.179643
0.840000,1.179643
0.850000,1.179643
0.860000,1.179643
0.870000,1.179643
0.880000,1.179643
0.890000,1.179643
0.900000,1.179643
0.910000,1.179643
0.920000,1.179643
0.930000,1.179643
0.940000,1.179643
0.950000,1.179643
0.960000,1.179643
0.970000,1.179643
0.980000,1.179643
0.990000,1.179643
